Datetime,Subsistema,Demanda Maxima Instantanea (MW),ENA Bruta (% MLT),EAR MAX (MWmes),Carga de Energia (MWmed),ENA Bruta (MWmed),Demanda Maxima horaria (MWh_h),Geracao de Energia - dia - (GWh),Carga de Energia (GWh),EAR (MWmes),ENA armazenavel (MWmed),EAR (GWh),Geracao de Energia - dia - (MWmed) ,ENA armazenavel (% MLT),EAR (%)
2018-03-01,Sudeste/Centro-Oeste,47781.63,89.85310364,202691.9375,41737.80875,60354.1875,47658.927,1011.388845,1001.70741,75035.2578125,53273.328125,54813.25583203,42141.201874599996,79.31140137,37.01940155
2018-03-02,Sudeste/Centro-Oeste,48466.31,90.14320374,202691.9375,42071.7745,60549.05078125,48258.458,1015.1015359999999,1009.722588,75360.9296875,53604.96484375,55051.15913672,42295.89733295,79.80509949,37.18000031
2018-03-03,Sudeste/Centro-Oeste,44186.21,89.86129761,202691.9375,38449.87708333,60359.66015625,43971.71,933.7155,922.79705,75959.796875,54131.3125,55488.63161719,38904.81249964,80.58869934,37.475498200000004
2018-03-04,Sudeste/Centro-Oeste,41655.52,89.51930237,202691.9375,35407.38983333,60129.953125,41361.656,891.2754130000001,849.777356,76580.828125,53188.04296875,55942.29494531,37136.47554127,79.18440247,37.7818985
2018-03-05,Sudeste/Centro-Oeste,48869.05,89.87779999,202691.9375,41878.61995833,60370.78515625,48303.97900000001,1014.6037759999999,1005.086879,76657.9296875,53906.10546875,55998.61763672,42275.15733294,80.25350189,37.81990051
2018-03-06,Sudeste/Centro-Oeste,49240.082,89.95860291,202691.9375,42985.44541667,60425.015625,49000.367999999995,1036.9888050000002,1031.65069,76832.0078125,54009.421875,56125.78170703,43207.86687456,80.40730286,37.90579987
2018-03-07,Sudeste/Centro-Oeste,48402.11,89.74349976,202691.9375,42725.79533333,60280.5390625,48345.638,1030.339248,1025.419088,77126.6328125,52508.421875,56341.00526953,42930.80199961,78.17259979,38.05120087
2018-03-08,Sudeste/Centro-Oeste,45924.273,90.49859619,202691.9375,41297.607,60787.76171875,45759.404,991.174558,991.142568,77527.1484375,53269.44140625,56633.58193359,41298.93991629,79.30560303,38.24879837
2018-03-09,Sudeste/Centro-Oeste,45852.273,91.09210205,202691.9375,40524.819375,61186.3828125,45674.204000000005,991.492617,972.595665,77930.4609375,54237.49609375,56928.20171484,41312.19237464,80.74680328,38.4477005
2018-03-10,Sudeste/Centro-Oeste,43223.812999999995,92.11060333,202691.9375,37204.38883333,61870.55859375,42899.08900000001,934.7020949999999,892.905332,78627.5546875,54990.90234375,57437.42869922,38945.92062459,81.86849976,38.79169846
2018-03-11,Sudeste/Centro-Oeste,41022.66,94.52739716,202691.9375,34052.25504167,63493.87109375,40827.404,917.7931699999999,817.254121,79278.25,55947.41796875,57912.761625,38241.38208289,83.29250336,39.11270142
2018-03-12,Sudeste/Centro-Oeste,48377.875,94.93969727,202691.9375,41540.141875,63770.80859375,48214.797999999995,1017.8571939999999,996.963405,79614.0546875,57150.20703125,58158.06694922,42410.71641627,85.08319855,39.27840042
2018-03-13,Sudeste/Centro-Oeste,48552.492,94.52670288,202691.9375,42584.464,63493.4375,48318.487,1048.480022,1022.027136,79893.84375,56839.85546875,58362.45285938,43686.66758292,84.62110138,39.41640091
2018-03-14,Sudeste/Centro-Oeste,50026.875,93.39119720000001,202691.9375,43423.75829167,62730.6953125,49982.829000000005,1066.530565,1042.170199,80099.53125,56331.21875,58512.70757813,44438.77354119,83.86389923,39.51789856
2018-03-15,Sudeste/Centro-Oeste,49743.2,92.10939789,202691.9375,43323.14545833,61869.69921875,49408.468,1043.895754,1039.755491,80348.2734375,55229.57421875,58694.41374609,43495.65641628,82.22380066,39.64059829999999
2018-03-16,Sudeste/Centro-Oeste,49537.727,90.01529694,202691.9375,43286.32291667,60463.15234375,49521.217000000004,1069.894814,1038.87175,80511.3515625,53818.234375,58813.54231641,44578.9505829,80.12259674,39.72100067
2018-03-17,Sudeste/Centro-Oeste,43248.543,88.30319977,202691.9375,38383.718,59313.1328125,43089.742999999995,939.276968,921.209232,81121.3671875,52218.8828125,59259.15873047,39136.54033291,77.74160004,40.02199936
2018-03-18,Sudeste/Centro-Oeste,41386.918,87.36119843,202691.9375,34841.86154167,58680.37890625,41192.671,888.862635,836.204677,81628.6875,50964.734375,59629.75621875,37035.9431246,75.87439728,40.27230072
2018-03-19,Sudeste/Centro-Oeste,49157.832,85.92520142,202691.9375,42409.82404167,57715.8125,48893.361,1027.486401,1017.835777,81684.7734375,51171.69140625,59670.72699609,42811.9333746,76.18260193,40.29999924
2018-03-20,Sudeste/Centro-Oeste,49884.469000000005,84.94860077,202691.9375,43474.21408333,57059.80078125,49560.097,1049.171765,1043.381138,81878.2578125,50952.08203125,59812.06733203,43715.49020795,75.85559845,40.395401
2018-03-21,Sudeste/Centro-Oeste,47139.996,84.60749817,202691.9375,41918.18808333,56830.71875,46806.070999999996,1028.837088,1006.036514,82157.59375,50291.80859375,60016.12223438,42868.21199959,74.87259674,40.53319931
2018-03-22,Sudeste/Centro-Oeste,45783.460999999996,84.39099884,202691.9375,40760.73441667,56685.3203125,45410.172,1017.687109,978.257626,82421.5234375,49758.453125,60208.92287109,42403.62954127,74.07859802,40.66339874
2018-03-23,Sudeste/Centro-Oeste,48067.613,84.45320129,202691.9375,41271.57695833,56727.06640625,47693.91099999999,1032.381916,990.517847,82698.15625,50052.6796875,60411.00314063,43015.91316621,74.51660156,40.79990005
2018-03-24,Sudeste/Centro-Oeste,44773.098,84.56710052,202691.9375,37903.35970833,56803.5703125,43936.895,956.118408,909.680633,83223.9609375,49898.8984375,60795.10346484,39838.26699953,74.28769684,41.05929947
2018-03-25,Sudeste/Centro-Oeste,41723.11,85.04689789,202691.9375,34666.02495833,57125.84765625,41134.663,895.762345,831.984599,83749.6171875,49300.27734375,61179.09535547,37323.43104133,73.39649963,41.31869888
2018-03-26,Sudeste/Centro-Oeste,46797.437999999995,85.54940033,202691.9375,40863.87454167,57463.4140625,46434.452000000005,1008.1680869999999,980.732989,84010.9453125,50587.7109375,61369.99555078,42007.00362458,75.31310272,41.44760132
2018-03-27,Sudeste/Centro-Oeste,46699.27,86.4312973,202691.9375,41023.49866667,58055.78125,46434.559,984.3883199999999,984.563968,84420.96875,50683.65625,61669.51767188,41016.17999959,75.45600128,41.64989853
2018-03-28,Sudeste/Centro-Oeste,47055.668,87.13770294,202691.9375,41176.657,58530.2421875,46712.962,992.18024,988.239768,84816.625,50365.71875,61958.5445625,41340.84333296,74.98259735,41.84510039999999
2018-03-29,Sudeste/Centro-Oeste,45953.383,85.97810364,202691.9375,40479.022875,57751.31640625,45668.715,962.9971300000001,971.496549,85197.421875,49220.859375,62236.71667969,40124.88041623,73.27819824,42.03300095
2018-03-30,Sudeste/Centro-Oeste,40590.074,85.80300140000001,202691.9375,34119.86054167,57633.7421875,39758.976,857.7694880000001,818.876653,85635.3828125,46785.5,62556.64714453,35740.39533286,69.65260315,42.24900055
2018-03-31,Sudeste/Centro-Oeste,42959.215,85.8871994,202691.9375,35113.840875,58541.09765625,41892.199,856.194225,842.732181,85872.1484375,47347.56640625,62729.60443359,35674.75937453,69.46489716,42.36579895
2018-04-01,Sudeste/Centro-Oeste,40894.953,107.49359894,202691.9375,33378.03275,58170.328125,40040.138999999996,804.012928,801.072786,86165.578125,45239.96484375,62943.95482031,33500.53866631,83.59940338,42.51060104
2018-04-02,Sudeste/Centro-Oeste,45756.645,107.41049957,202691.9375,40017.1415,58125.35546875,45443.721,942.4481810000001,960.411396,86264.296875,48811.921875,63016.06886719,39268.6742079,90.20010376,42.55929947
2018-04-03,Sudeste/Centro-Oeste,46275.184,107.09149933,202691.9375,40986.92120833,57952.7421875,46091.904,951.376992,983.686109,86461.4140625,49646.2265625,63160.06297266,39640.70799951,91.74179840000001,42.65660095
2018-04-04,Sudeste/Centro-Oeste,44790.254,106.09510039999999,202691.9375,40087.32570833,57413.52734375,44564.609000000004,943.9660769999999,962.095817,86623.9453125,48664.109375,63278.79205078,39331.91987458,89.92700195,42.73669815
2018-04-05,Sudeste/Centro-Oeste,45034.905999999995,105.01390076,202691.9375,39700.177375,56828.4296875,44811.562999999995,940.506769,952.804257,86838.40625,47993.55859375,63435.45576563,39187.78204125,88.68779755,42.84260178
2018-04-06,Sudeste/Centro-Oeste,44689.613,104.24980164,202691.9375,39465.911,56414.9375,44550.008,929.433453,947.181864,87087.9140625,47462.71875,63617.72122266,38726.39387456,87.70690155,42.96569824
2018-04-07,Sudeste/Centro-Oeste,42936.82,103.8864975,202691.9375,35883.17125,56218.34765625,41900.684,883.2119470000001,861.19611,87499.2265625,47584.69921875,63918.18500391,36800.49779126,87.93229675,43.16859818
2018-04-08,Sudeste/Centro-Oeste,39932.074,103.83229828,202691.9375,32520.997875,56189.0,38990.516,853.6102119999999,780.503949,87928.9453125,46639.25,64232.09455078,35567.09216622,86.18520355,43.38059998
2018-04-09,Sudeste/Centro-Oeste,44262.762,102.89600372,202691.9375,38545.284625,55682.30078125,44075.34099999999,925.5414910000001,925.086831,88175.3046875,47006.6171875,64412.06007422,38564.22879125,86.8640976,43.5021019
2018-04-10,Sudeste/Centro-Oeste,44506.191,100.47599792,202691.9375,39101.05904167,54372.765625,44258.077000000005,916.140347,938.425417,88378.3984375,46133.375,64560.42005859,38172.51445796,85.25039673,43.60229874
2018-04-11,Sudeste/Centro-Oeste,44528.11,98.17880249,202691.9375,39099.13120833,53129.59765625,44296.082,904.7897009999999,938.379149,88526.65625,44525.921875,64668.72239063,37699.57087457,82.27999878,43.67549896
2018-04-12,Sudeste/Centro-Oeste,44007.780999999995,96.26799774,202691.9375,38947.18833333,52095.5859375,43519.793,919.4779580000001,934.73252,88638.3984375,42795.984375,64750.35005859,38311.58158292,79.08319855,43.73059845
2018-04-13,Sudeste/Centro-Oeste,45261.93,93.31199646,202691.9375,39489.449125,50495.921875,45040.769,932.7556960000001,947.746779,88720.84375,42748.15234375,64810.57635938,38864.82066626,78.99479675,43.77130127
2018-04-14,Sudeste/Centro-Oeste,42782.359000000004,90.93530273,202691.9375,36080.43875,49209.765625,42036.068,878.246893,865.93053,88990.4921875,41839.25390625,65007.55454297,36593.62054123,77.31520081,43.90430069
2018-04-15,Sudeste/Centro-Oeste,38373.969,91.68199921,202691.9375,31362.50475,49613.8515625,37561.193,810.708882,752.700114,89258.671875,40174.48828125,65203.45980469,33779.53674963,74.23889923,44.03659821
2018-04-16,Sudeste/Centro-Oeste,41429.629,89.19210052,202691.9375,35843.33604167,48266.4296875,40969.995,856.906298,860.240065,89445.1953125,41070.5234375,65339.71517578,35704.42908293,75.8946991,44.12860107
2018-04-17,Sudeste/Centro-Oeste,42047.262,88.29910278,202691.9375,36213.47758333,47783.1875,41548.651,859.2669470000001,869.123462,89711.21875,40635.07421875,65534.04529688,35802.7894579,75.08999634,44.25989914
2018-04-18,Sudeste/Centro-Oeste,42294.566,86.88829803,202691.9375,36063.919875,47019.75390625,41663.225,857.3174759999999,865.534077,89932.5,40558.828125,65695.69125,35721.56149954,74.94909668,44.36909866
2018-04-19,Sudeste/Centro-Oeste,42815.09,85.87190247,202691.9375,36300.32683333,46469.6875,42143.23,879.39667,871.207844,90073.0,40206.35546875,65798.3265,36641.52791623,74.29779816,44.43840027
2018-04-20,Sudeste/Centro-Oeste,42455.21,84.13909912,202691.9375,36723.577375,45532.01953125,41804.53,883.8649130000001,881.365857,90084.46875,39232.52734375,65806.70442188,36827.70470791,72.49819946,44.44400024
2018-04-21,Sudeste/Centro-Oeste,40185.086,82.34470367,202691.9375,32016.17108333,44560.9453125,39635.203,804.076789,768.388106,90236.75,37125.37109375,65917.945875,33503.19954124,68.60440063,44.51919937
2018-04-22,Sudeste/Centro-Oeste,39109.969,79.99310303,202691.9375,30283.54695833,43288.38671875,38458.66,797.1192570000001,726.805127,90312.046875,35162.26171875,65972.95024219,33213.30237451,64.97669983,44.55630112
2018-04-23,Sudeste/Centro-Oeste,42307.57,77.89389801,202691.9375,35875.92929167,42152.421875,41807.623,869.452076,861.022303,90279.875,36239.1171875,65949.4486875,36227.1698329,66.96669769,44.54040146
2018-04-24,Sudeste/Centro-Oeste,43875.566,75.70600128,202691.9375,37890.95733333,40968.4140625,43351.385,905.84074,909.382976,90119.6953125,35607.40234375,65832.43742578,37743.36416624,65.79930115,44.46139908
2018-04-25,Sudeste/Centro-Oeste,44325.785,74.25930023,202691.9375,38260.070375,40185.5234375,43851.797,927.386875,918.241689,89850.4296875,34382.4765625,65635.73888672,38641.11979124,63.53580093,44.32860184
2018-04-26,Sudeste/Centro-Oeste,44496.27,72.73719788,202691.9375,38883.42929167,39361.83984375,44082.378,923.419967,933.202303,89644.4765625,34304.4921875,65485.29012891,38475.83195796,63.39170074,44.22700119
2018-04-27,Sudeste/Centro-Oeste,44339.152,70.87689972,202691.9375,38934.65808333,38355.1640625,44118.383,927.9570679999999,934.431794,89362.765625,33474.69921875,65279.50028906,38664.87783288,61.85829926,44.08800125
